timestamp,true_label,raw_direction,final_direction,final_conviction,suppressed,suppress_reason
2024-10-11 03:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 04:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 04:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 05:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 05:45:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 06:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 06:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 07:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 07:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 08:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 08:45:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 09:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-11 09:45:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 03:45:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 04:15:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 04:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 05:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 05:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 06:15:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 06:45:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 07:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 07:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 08:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 08:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 09:15:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-14 09:45:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 03:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 04:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 04:45:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 05:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 05:45:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 06:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 06:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 07:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 07:45:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 08:15:00+00:00,NEUTRAL,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 08:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 09:15:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-15 09:45:00+00:00,PE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
2024-10-16 03:45:00+00:00,CE,NEUTRAL,NEUTRAL,0.0,True,conviction_below_threshold (0.300 < 0.4)
